ICDO32_Code	Term	PrefTerm
8242/3	Enterochromaffin-like cell carcinoid, NOS	NULL
8242/3	Enterochromaffin-like cell tumor	NULL
8242/3	Histamine-producing enterochromaffin-like-cell NET	NULL
8243/3	Goblet cell adenocarcinoma	NULL
8243/3	Goblet cell carcinoid	1
8243/3	Goblet cell carcinoma	NULL
8243/3	Mucinous carcinoid	NULL
8243/3	Mucocarcinoid tumor	NULL
8244/3	Adenocarcinoma mixed with neuroendocrine carcinoma	NULL
8244/3	Combined carcinoid and adenocarcinoma	NULL
8244/3	Composite carcinoid	NULL
8244/3	Composite carcinoid-adenocarcinoma	NULL
8244/3	MANEC	NULL
8244/3	Mixed acinar carcinoma-neuroendocrine tumor	NULL
8244/3	Mixed adenoneuroendocrine carcinoma	1
8244/3	Mixed carcinoid and adenocarcinoma	NULL
8244/3	Mixed carcinoid-adenocarcinoma	NULL
8244/3	Mixed ductal adenocarcinoma–neuroendocrine tumor	NULL
8245/1	Tubular carcinoid	1
8245/3	Adenocarcinoid tumor	1
8246/3	Neuroendocrine carcinoma, high-grade	NULL
8246/3	Neuroendocrine carcinoma, NOS	1
8246/3	Poorly differentiated endocrine carcinoma	NULL
8246/3	Poorly differentiated neuroendocrine neoplasm	NULL
8247/3	Merkel cell carcinoma	1
8247/3	Merkel cell tumor	NULL
8247/3	Primary cutaneous neuroendocrine carcinoma	NULL
8248/3	Apudoma	NULL
8249/3	Atypical carcinoid	NULL
8249/3	Atypical carcinoid / neuroendocrine tumor, grade 2	NULL
8249/3	Atypical carcinoid tumor	NULL
8249/3	Neuroendocrine carcinoma, moderately differentiated	NULL
8249/3	Neuroendocrine tumor, grade 2	1
8249/3	Neuroendocrine tumor, grade 3	NULL
8250/0	Atypical adenomatous hyperplasia	1
8250/1	Pulmonary adenomatosis	1
8250/2	Adenocarcinoma in situ of lung, non-mucinous	1
8250/2	Adenocarcinoma in situ, non-mucinous	NULL
8250/3	Alveolar cell carcinoma	NULL
8250/3	Bronchiolar adenocarcinoma	NULL
8250/3	Bronchiolar carcinoma	NULL
8250/3	Bronchiolo-alveolar adenocarcinoma, NOS	NULL
8250/3	Bronchiolo-alveolar carcinoma, NOS	NULL
8250/3	Lepidic adenocarcinoma	1
8251/0	Alveolar adenoma	1
8251/3	Alveolar adenocarcinoma	1
8251/3	Alveolar carcinoma	NULL
8252/3	Adenocarcinoma, non-mucinous	NULL
8252/3	Bronchiolo-alveolar carcinoma, Clara cell	NULL
8252/3	Bronchiolo-alveolar carcinoma, non-mucinous	1
8252/3	Bronchiolo-alveolar carcinoma, type II pneumocyte	NULL
8253/2	Adenocarcinoma in situ of lung, mucinous	1
8253/2	Adenocarcinoma in situ, mucinous	NULL
8253/3	Adenocarcinoma of lung, mucinous	NULL
8253/3	Bronchiolo-alveolar carcinoma, goblet cell type	NULL
8253/3	Bronchiolo-alveolar carcinoma, mucinous	NULL
8253/3	Invasive mucinous adenocarcinoma	NULL
8253/3	Mucinous carcinoma of lung	NULL
8254/3	Adenocarcinoma of lung, mixed mucinous and non-mucinous	NULL
8254/3	Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type	NULL
8254/3	Bronchiolo-alveolar carcinoma, indeterminate type	NULL
8254/3	Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous	NULL
8254/3	Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type	NULL
8254/3	Mixed invasive mucinous and non-mucinous adenocarcinoma	NULL
8255/3	Adenocarcinoma combined with other types of carcinoma	NULL
8255/3	Adenocarcinoma with mixed subtypes	1
8255/3	Adenocarcinoma, mixed pattern	NULL
8255/3	Adenocarcinoma, mixed, NOS	NULL
8255/3	Mixed pattern adenocarcinoma	NULL
8256/3	Minimally invasive adenocarcinoma, non-mucinous	1
8257/3	Minimally invasive adenocarcinoma, mucinous	1
8260/0	Glandular papilloma	NULL
8260/0	Papillary adenoma, NOS	1
8260/0	Renal papillary adenoma	NULL
8260/0	Renal tubulopapillary adenoma	NULL
8260/0	Tubulopapillary adenoma	NULL
8260/3	Aggressive papillary tumor	NULL
8260/3	Classic papillary thyroid carcinoma	NULL
8260/3	Clear cell papillary thyroid carcinoma	NULL
8260/3	Hobnail papillary thyroid carcinoma	NULL
8260/3	Low-grade nasopharyngeal papillary adenocarcinoma	NULL
8260/3	Low-grade papillary adenocarcinoma	NULL
8260/3	Middle ear adenocarcinoma	NULL
8260/3	Papillary adenocarcinoma of middle ear	NULL
8260/3	Papillary adenocarcinoma, NOS	1
8260/3	Papillary carcinoma of thyroid	NULL
8260/3	Papillary renal cell carcinoma	NULL
8260/3	Papillary thyroid carcinoma	NULL
8260/3	Papillary thyroid carcinoma with fibromatosis/fasciitis-like/desmoid-type stroma	NULL
8260/3	Papillary thyroid carcinoma, classic, NOS	NULL
8260/3	Solid/trabecular papillary thyroid carcinoma	NULL
8260/3	Spindle cell papillary thyroid carcinoma	NULL
8260/3	Warthin-like papillary thyroid carcinoma	NULL
8261/0	Villous adenoma, low-grade	NULL
8261/0	Villous adenoma, NOS	1
8261/0	Villous papilloma	NULL
8261/2	Adenocarcinoma in situ in villous adenoma	1
8261/2	Villous adenoma, high grade	NULL
8261/3	Adenocarcinoma in villous adenoma	1
8262/3	Adenoma-like adenocarcinoma	NULL
8262/3	Villous adenocarcinoma	1
8263/0	Papillotubular adenoma	NULL
8263/0	Tubulo-papillary adenoma	NULL
8263/0	Tubulovillous adenoma, low-grade	NULL
8263/0	Tubulovillous adenoma, NOS	1
8263/0	Villoglandular adenoma	NULL
8263/2	Adenocarcinoma in situ in tubulovillous adenoma	1
8263/2	Tubulovillous adenoma, high grade	NULL
8263/3	Adenocarcinoma in tubulovillous adenoma	1
8263/3	Papillotubular adenocarcinoma	NULL
8263/3	Tubulopapillary adenocarcinoma	NULL
8263/3	Villoglandular carcinoma	NULL
8263/3	Villoglandular variant of endometrioid adenocarcinoma	NULL
8264/0	Biliary papillomatosis	NULL
8264/0	Papillomatosis, glandular	1
8265/3	Invasive micropapillary carcinoma	NULL
8265/3	Micropapillary adenocarcinoma	NULL
8265/3	Micropapillary carcinoma, NOS	1
8265/3	Micropapillary salivary duct carcinoma	NULL
8270/0	Chromophobe adenoma	1
8270/3	Chromophobe adenocarcinoma	NULL
8270/3	Chromophobe adenoma of pituitary	NULL
8270/3	Chromophobe carcinoma	1
8271/0	Prolactinoma	NULL
8271/3	Densely granulated lactotroph tumor	NULL
8271/3	Lactotroph adenoma	NULL
8271/3	Lactotroph PitNET	NULL
8271/3	Lactotroph PitNET/adenoma	NULL
8271/3	Lactotroph PitNET/adenoma5	NULL
8271/3	Lactotroph tumor	NULL
8271/3	Prolactinoma	NULL
8271/3	Sparsely granulated lactotroph tumor	NULL
8272/0	Pituitary adenoma, NOS	1
8272/3	Corticotroph adenoma, NOS	NULL
8272/3	Corticotroph PitNET	NULL
8272/3	Corticotroph PitNET/adenoma	NULL
8272/3	Corticotroph tumor	NULL
8272/3	Crooke cell tumor	NULL
8272/3	Densely granulated corticotroph tumor	NULL
8272/3	Densely granulated somatotroph tumor	NULL
8272/3	Ectopic or invasive pituitary neuroendocrine tumor (PitNET) / pituitary adenoma	NULL
8272/3	GH-producing tumor	NULL
8272/3	Gonadotroph adenoma	NULL
8272/3	Gonadotroph PitNET	NULL
8272/3	Gonadotroph PitNET/adenoma	NULL
8272/3	Gonadotroph tumor	NULL
8272/3	Gonadotropin-producing tumor	NULL
8272/3	Growth hormone-producing tumor	NULL
8272/3	Immature PIT1-lineage PitNET	NULL
8272/3	Immature PIT1-lineage PitNET/adenoma	NULL
8272/3	Immature PIT1-lineage tumor	NULL
8272/3	Immature PIT1-positive tumor	NULL
8272/3	Mature PIT1-lineage tumor	NULL
8272/3	Mature plurihormonal PIT1-lineage adenoma	NULL
8272/3	Mature plurihormonal PIT1-lineage neuroendocrine tumor	NULL
8272/3	Mature plurihormonal PIT1-lineage PitNET	NULL
8272/3	Mature plurihormonal PIT1-lineage PitNET/adenoma	NULL
8272/3	Mature plurihormonal PIT1-lineage tumor	NULL
8272/3	Mature plurihormonal PIT1-positive tumor	NULL
8272/3	Metastatic PitNET	NULL
8272/3	Null cell adenoma	NULL
8272/3	Null cell PitNET	NULL
8272/3	Null cell PitNET/adenoma	NULL
8272/3	Null cell tumor	NULL
8272/3	PitNET with metastasis (formerly pituitary carcinoma)	NULL
8272/3	PitNET, malignant / pituitary carcinoma, NOS	NULL
8272/3	PitNET, NOS	NULL
8272/3	Pituitary adenoma / pituitary neuroendocrine tumour (PitNET)	NULL
8272/3	Pituitary adenoma, ectopic	NULL
8272/3	Pituitary adenoma, NOS	NULL
8272/3	Pituitary carcinoma, NOS	1
8272/3	Pituitary transcription factor and hormone-immunonegative PitNET/adenoma	NULL
8272/3	Plurihormal PitNET/adenoma, NOS	NULL
8272/3	Plurihormonal adenoma	NULL
8272/3	Plurihormonal PitNET	NULL
8272/3	Plurihormonal PitNET/adenoma	NULL
8272/3	Plurihormonal PitNETs/adenomas	NULL
8272/3	Somatotroph adenoma	NULL
8272/3	Somatotroph PitNET	NULL
8272/3	Somatotroph PitNET/adenoma	NULL
8272/3	Somatotroph tumor	NULL
8272/3	Sparsely granulated corticotroph tumor	NULL
8272/3	Sparsely granulated somatotroph tumor	NULL
8272/3	Thyrotroph adenoma	NULL
8272/3	Thyrotroph PitNET	NULL
8272/3	Thyrotroph PitNET/adenoma	NULL
8272/3	Thyrotroph tumor	NULL
8272/3	Unclassified plurihormonal tumor	NULL
8272/3	Unclassified plurihormonal tumors	NULL
8272/3	Unusual plurihormonal tumor/adenoma	NULL
8273/3	Pituitary blastoma	1
8273/3	Pituitary embryoma	NULL
8280/0	Acidophil adenoma	1
8280/0	Eosinophil adenoma	NULL
8280/3	Acidophil adenocarcinoma	NULL
8280/3	Acidophil adenoma	NULL
8280/3	Acidophil carcinoma	1
8280/3	Acidophil stem cell PitNET	NULL
8280/3	Acidophil stem cell PitNET/adenoma	NULL
8280/3	Acidophil stem cell tumor	NULL
8280/3	Densely granulated somatotroph and sparsely granulated lactotroph PitNET/adenoma	NULL
8280/3	Densely granulated somatotroph and sparsely granulated lactotroph tumor	NULL
8280/3	Eosinophil adenocarcinoma	NULL
8280/3	Eosinophil adenoma	NULL
8280/3	Eosinophil carcinoma	NULL
8280/3	Mammosomatotroph PitNET	NULL
8280/3	Mammosomatotroph PitNET/adenoma	NULL
8280/3	Mammosomatotroph tumor	NULL
8280/3	Mixed somatotroph–lactotroph PitNET/adenoma	NULL
8280/3	Mixed somatotroph-lactotroph tumor	NULL
8280/3	Sparsely granulated somatotroph and sparsely granulated lactotroph PitNET/adenoma	NULL
8280/3	Sparsely granulated somatotroph and sparsely granulated lactotroph tumor	NULL
8281/0	Mixed acidophil-basophil adenoma	1
8281/3	Mixed acidophil-basophil adenoma	NULL
8281/3	Mixed acidophil-basophil carcinoma	1
8290/0	Clear cell oncocytoma	NULL
8290/0	Follicular adenoma, oxyphilic cell	NULL
8290/0	Hurthle cell adenoma	NULL
8290/0	Hürthle cell adenoma	NULL
8290/0	Hurthle cell tumor	NULL
8290/0	Hürthle cell tumor	NULL
8290/0	Oncocytic (oxyphil cell) parathyroid adenoma	NULL
8290/0	Oncocytic adenoma	NULL
8290/0	Oncocytic adenoma of the thyroid	NULL
8290/0	Oncocytic adenoma of the thyroid gland	NULL
8290/0	Oncocytic papillary cystadenoma	NULL
8290/0	Oncocytic pituicytoma	NULL
8290/0	Oncocytoma	NULL
8290/0	Oncocytoma, clear cell	NULL
8290/0	Oxyphilic adenoma	1
8290/0	Pituicytoma with oncocytic features	NULL
8290/0	Spindle cell oncocytoma	NULL
8290/0	Spindle cell oncocytoma / oncocytic pituicytoma	NULL
8290/0	Spindle cell oncocytoma of adenohypophysis	NULL
8290/1	Oncocytic tumor of uncertain malignant potential	NULL
8290/3	Encapsulated angioinvasive oncocytic carcinoma	NULL
8290/3	Encapsulated angioinvasive oncocytic carcinoma of the thyroid gland	NULL
8290/3	Follicular carcinoma, Hürthle cell type	NULL
8290/3	Follicular carcinoma, oncocytic type	NULL
8290/3	Follicular carcinoma, oxyphilic cell	NULL
8290/3	Hurthle cell adenocarcinoma	NULL
8290/3	Hürthle cell adenocarcinoma	NULL
8290/3	Hurthle cell carcinoma	NULL
8290/3	Hürthle cell carcinoma	NULL
8290/3	Minimally invasive oncocytic carcinoma	NULL
8290/3	Minimally invasive oncocytic carcinoma of the thyroid gland (capsular invasion only)	NULL
8290/3	Oncocytic adenocarcinoma	NULL
8290/3	Oncocytic carcinoma	NULL
8290/3	Oncocytic carcinoma of the thyroid gland	NULL
8290/3	Oncocytic salivary duct carcinoma	NULL
8290/3	Oxyphilic adenocarcinoma	1
8290/3	Widely invasive oncocytic carcinoma	NULL
8290/3	Widely invasive oncocytic carcinoma of the thyroid gland	NULL
8300/0	Basophil adenoma	1
8300/0	Mucoid cell adenoma	NULL
8300/3	Basophil adenocarcinoma	NULL
8300/3	Basophil adenoma	NULL
8300/3	Basophil carcinoma	1
8300/3	Mucoid cell adenocarcinoma	NULL
8300/3	Mucoid cell adenoma	NULL
8310/0	Clear cell adenoma	1
8310/3	Adenocarcinoma, HPV-independent, clear cell type	NULL
8310/3	Clear cell adenocarcinoma, mesonephroid	NULL
8310/3	Clear cell adenocarcinoma, NOS	1
8310/3	Clear cell carcinoma, NOS	NULL
8310/3	Clear cell renal cell carcinoma	NULL
8310/3	Hyalinizing clear cell carcinoma	NULL
8310/3	Müllerian-type tumour, clear cell type	NULL
8310/3	Urothelial carcinoma with Müllerian differentiation (clear cell adenocarcinoma)	NULL
8311/1	Hypernephroid tumor	1
8311/3	ALK-rearranged renal cell carcinoma	NULL
8311/3	ALK-rearranged renal cell carcinomas	NULL
8311/3	ELOC (formerly TCEB1)-mutated renal cell carcinoma	NULL
8311/3	Eosinophilic solid and cystic renal cell carcinoma	NULL
8311/3	Fumarate hydratase-deficient renal cell carcinoma	NULL
8311/3	Hereditary leiomyomatosis and renal cell carcinoma (HLRCC) syndrome-associated renal cell carcinoma	NULL
8311/3	MiT family translocation carcinoma	NULL
8311/3	MiT family translocation renal cell carcinoma	NULL
8311/3	Renal cell carcinoma with MiT translocations	NULL
8311/3	Succinate dehydrogenase–deficient renal cell carcinoma	NULL
8311/3	t(6;11) renal cell carcinoma	NULL
8311/3	TFE3-rearranged renal cell carcinoma	NULL
8311/3	TFE3-rearranged renal cell carcinoma (Xp11 translocation renal cell carcinoma)	NULL
8311/3	TFE3-rearranged renal cell carcinomas	NULL
8311/3	TFEB-altered renal cell carcinoma	NULL
8311/3	TFEB-rearranged renal cell carcinoma	NULL
8311/3	TFEB-rearranged renal cell carcinoma (t(6;11) renal cell carcinoma)	NULL
8311/3	TFEB-rearranged renal cell carcinomas	NULL
8311/3	Xp11 translocation renal cell carcinoma	NULL
8312/3	Grawitz tumor	NULL
8312/3	Hypernephroma	NULL
8312/3	Renal cell adenocarcinoma	NULL
8312/3	Renal cell carcinoma, NOS	1
8312/3	Renal cell carcinoma, not elsewhere classified	NULL
8312/3	Renal cell carcinoma, unclassified	NULL
8313/0	Clear cell adenofibroma	1
8313/0	Clear cell cystadenofibroma	NULL
8313/1	Clear cell adenofibroma of borderline malignancy	NULL
8313/1	Clear cell borderline tumor	1
8313/1	Clear cell cystadenofibroma of borderline malignancy	NULL
8313/1	Clear cell cystic tumor of borderline malignancy	NULL
8313/1	Clear cell tumor, atypical proliferative	NULL
8313/3	Clear cell adenocarcinofibroma	1
8313/3	Clear cell cystadenocarcinofibroma	NULL
8314/3	Lipid-rich carcinoma	1
8315/3	Glycogen-rich carcinoma	1
8315/3	Glycogen-rich clear cell carcinoma	NULL
8316/1	Multilocular cystic renal neoplasm of low malignant potential	1
8316/3	Acquired cystic disease-associated renal cell carcinoma	NULL
8316/3	Cyst-associated renal cell carcinoma	1
8316/3	Tubulocystic renal cell carcinoma	NULL
8317/1	Eosinophilic vacuolated tumor	NULL
8317/1	Hybrid oncocytic chromophobe tumor	NULL
8317/1	Low-grade oncocytic tumor (LOT)	NULL
8317/3	Chromophobe carcinoma of kidney	NULL
8317/3	Chromophobe cell renal carcinoma	NULL
8317/3	Chromophobe renal cell carcinoma	NULL
8317/3	Renal cell carcinoma, chromophobe type	1
8318/3	Renal cell carcinoma, sarcomatoid	1
8318/3	Renal cell carcinoma, spindle cell	NULL
8319/3	Bellini duct carcinoma	NULL
8319/3	Collecting duct carcinoma	1
8319/3	Renal carcinoma, collecting duct type	NULL
8320/3	Granular cell adenocarcinoma	NULL
8320/3	Granular cell carcinoma	1
8321/0	Chief cell adenoma	1
8322/0	Water-clear cell adenoma	1
8322/0	Water-clear cell parathyroid adenoma	NULL
8322/3	Water-clear cell adenocarcinoma	1
8322/3	Water-clear cell carcinoma	NULL
8323/0	Mixed cell adenoma	1
8323/1	Clear cell papillary renal cell carcinoma	NULL
8323/1	Clear cell papillary renal cell tumor	NULL
8323/3	Mixed adenocarcinoma	NULL
8323/3	Mixed carcinoma	NULL
8323/3	Mixed cell adenocarcinoma	1
8324/0	Adenolipoma	NULL
8324/0	Lipoadenoma	1
8324/0	Parathyroid lipoadenoma	NULL
8325/0	Metanephric adenoma	1
8330/0	Follicular adenoma of the thyroid	NULL
8330/0	Follicular adenoma with papillary architecture	NULL
8330/0	Follicular adenoma, NOS	1
8330/0	Follicular thyroid adenoma	NULL
8330/0	Follicular thyroid adenoma with papillary architecture	NULL
8330/0	Hyperfunctioning (toxic) follicular adenoma	NULL
8330/0	Hyperfunctioning follicular adenoma	NULL
8330/0	Hyperfunctioning thyroid adenoma	NULL
8330/0	Toxic thyroid adenoma	NULL
8330/1	Atypical follicular adenoma	1
8330/3	Follicular adenocarcinoma, NOS	NULL
8330/3	Follicular carcinoma, NOS	1
8330/3	Follicular carcinoma, widely invasive	NULL
8330/3	Follicular thyroid carcinoma	NULL
8330/3	Widely invasive follicular thyroid carcinoma	NULL
8331/3	Follicular adenocarcinoma, well differentiated	1
8331/3	Follicular carcinoma, well differentiated	NULL
8332/3	Follicular adenocarcinoma, moderately differentiated	NULL
8332/3	Follicular adenocarcinoma, trabecular	1
8332/3	Follicular carcinoma, moderately differentiated	NULL
8332/3	Follicular carcinoma, trabecular	NULL
8333/0	Fetal adenoma	NULL
8333/0	Microfollicular adenoma, NOS	1
8333/3	Fetal adenocarcinoma	1
8334/0	Colloid adenoma	NULL
8334/0	Macrofollicular adenoma	1
8335/1	Follicular carcinoma, encapsulated, NOS	NULL
8335/1	Follicular tumor of uncertain malignant potential	1
8335/3	Follicular carcinoma, minimally invasive	1
8335/3	Minimally invasive follicular thyroid carcinoma (capsular invasion only)	NULL
8336/1	Hyalinizing trabecular adenoma	NULL
8336/1	Hyalinizing trabecular neoplasm	NULL
8336/1	Hyalinizing trabecular tumor	1
8336/3	Hyalinizing trabecular tumor, malignant	NULL
8337/3	Differentiated high-grade thyroid carcinoma	NULL
8337/3	Follicular thyroid carcinoma, high-grade	NULL
8337/3	Follicular-derived carcinoma, non-anaplastic high-grade	NULL
8337/3	High-grade differentiated thyroid carcinoma	NULL
8337/3	High-grade follicular cell-derived non-anaplastic carcinoma	NULL
8337/3	High-grade follicular cell–derived non-anaplastic thyroid carcinoma	NULL
8337/3	Insular carcinoma	NULL
8337/3	Oncocytic follicular thyroid carcinoma, high-grade	NULL
8337/3	Papillary thyroid carcinoma, high-grade	NULL
8337/3	Poorly differentiated thyroid carcinoma	1
8339/3	Encapsulated angioinvasive follicular thyroid carcinoma	NULL
8339/3	Follicular carcinoma, encapsulated, angioinvasive	NULL
8339/3	Follicular thyroid carcinoma, encapsulated, angioinvasive	NULL
8340/3	Encapsulated angioinvasive follicular variant of papillary carcinoma	NULL
8340/3	Follicular variant of papillary thyroid carcinoma	NULL
8340/3	Infiltrative follicular subtype of papillary thyroid carcinoma	NULL
8340/3	Infiltrative follicular variant of papillary thyroid carcinoma	NULL
8340/3	Invasive encapsulated follicular subtype of papillary thyroid carcinoma	NULL
8340/3	Invasive encapsulated follicular variant of papillary carcinoma, NOS	NULL
8340/3	Invasive encapsulated follicular variant of papillary thyroid carcinoma	NULL
8340/3	Minimally invasive encapsulated follicular variant of papillary carcinoma	NULL
8340/3	Minimally invasive encapsulated follicular variant of papillary carcinoma (capsular invasion only)	NULL
8340/3	Papillary adenocarcinoma, follicular variant	NULL
8340/3	Papillary and follicular adenocarcinoma	NULL
8340/3	Papillary and follicular carcinoma	NULL
8340/3	Papillary carcinoma, follicular variant	1
8340/3	Widely invasive follicular variant of papillary carcinoma	NULL
8341/3	Micropapillary carcinoma of thyroid	NULL
8341/3	Papillary microcarcinoma	1
8341/3	Papillary thyroid microcarcinoma	NULL
8342/3	Oncocytic papillary thyroid carcinoma	NULL
8342/3	Papillary carcinoma, oncocytic	NULL
8342/3	Papillary carcinoma, oncocytic variant	1
8342/3	Papillary carcinoma, oxyphilic cell	NULL
8343/3	Encapsulated classic papillary thyroid carcinoma	NULL
8343/3	Papillary carcinoma, encapsulated, of thyroid	1
8344/3	Columnar cell papillary thyroid carcinoma	NULL
8344/3	Papillary carcinoma, columnar cell	1
8344/3	Papillary carcinoma, tall cell	NULL
8344/3	Tall cell papillary thyroid carcinoma	NULL
8345/3	C cell carcinoma	NULL
8345/3	Medullary carcinoma with amyloid stroma	NULL
8345/3	Medullary microcarcinoma	NULL
8345/3	Medullary microcarcinoma of thyroid gland	NULL
8345/3	Medullary thyroid carcinoma, NOS	1
8345/3	Medullary thyroid microcarcinoma	NULL
8345/3	Parafollicular cell carcinoma	NULL
8346/3	Mixed medullary and anaplastic carcinoma	NULL
8346/3	Mixed medullary and high-grade differentiated carcinoma	NULL
8346/3	Mixed medullary and oncocytic carcinoma	NULL
8346/3	Mixed medullary and poorly differentiated carcinoma	NULL
8346/3	Mixed medullary-follicular carcinoma	1
8347/3	Mixed medullary-papillary carcinoma	1
8348/1	Well differentiated tumor of uncertain malignant potential	1
8349/1	Non-invasive follicular thyroid neoplasm with papillary-like nuclear features	NULL
8349/1	Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP)	1
8349/1	Oncocytic non-invasive follicular thyroid neoplasm with papillary-like nuclear features	NULL
8349/1	Subcentimetre non-invasive follicular thyroid neoplasm with papillary-like nuclear features	NULL
8350/3	Diffuse sclerosing papillary thyroid carcinoma	NULL
8350/3	Nonencapsulated sclerosing adenocarcinoma	NULL
8350/3	Nonencapsulated sclerosing carcinoma	1
8350/3	Nonencapsulated sclerosing tumor	NULL
8350/3	Papillary carcinoma, diffuse sclerosing	NULL
8360/1	Endocrine adenomatosis	NULL
8360/1	Multiple endocrine adenomas	1
8361/0	Functioning juxtaglomerular cell tumor	NULL
8361/0	Juxtaglomerular cell tumor, functioning	NULL
8361/0	Juxtaglomerular cell tumor, non-functioning	NULL
8361/0	Juxtaglomerular cell tumor, NOS	NULL
8361/0	Juxtaglomerular tumor	1
8361/0	Reninoma	NULL
8361/1	Non-functioning juxtaglomerular cell tumor	NULL
8370/0	Adrenal cortical adenoma, NOS	1
8370/0	Adrenal cortical tumor, benign	NULL
8370/0	Adrenal cortical tumor, NOS	NULL
8370/3	Adrenal cortical adenocarcinoma	NULL
8370/3	Adrenal cortical carcinoma	1
8370/3	Adrenal cortical carcinoma, conventional	NULL
8370/3	Adrenal cortical carcinoma, oncocytic	NULL
8370/3	Adrenal cortical tumor, malignant	NULL
8370/3	Adrenocortical carcinoma, NOS	NULL
8370/3	Conventional adrenal cortical carcinoma	NULL
8370/3	Myxoid adrenal cortical carcinoma	NULL
8370/3	Oncocytic adrenal cortical carcinoma	NULL
8370/3	Sarcomatoid adrenal cortical carcinoma	NULL
8371/0	Adrenal cortical adenoma, compact cell	1
8372/0	Adrenal cortical adenoma, pigmented	1
8372/0	Black adenoma	NULL
8372/0	Pigmented adenoma	NULL
8373/0	Adrenal cortical adenoma, clear cell	1
8374/0	Adrenal cortical adenoma, glomerulosa cell	1
8375/0	Adrenal cortical adenoma, mixed cell	1
8380/0	Endometrioid adenoma, NOS	1
8380/0	Endometrioid cystadenoma, NOS	NULL
8380/1	Atypical proliferative endometrioid tumor	NULL
8380/1	Endometrioid adenoma, borderline malignancy	1
8380/1	Endometrioid borderline tumor	NULL
8380/1	Endometrioid cystadenoma, borderline malignancy	NULL
8380/1	Endometrioid tumor of low malignant potential	NULL
8380/1	Endometrioid tumor, borderline	NULL
8380/2	Atypical hyperplasia of endometrium	NULL
8380/2	Endometrial atypical hyperplasia / endometrioid intraepithelial neoplasia	NULL
8380/2	Endometrioid intraepithelial neoplasia	1
8380/3	Endometrioid adenocarcinoma, NOS	1
8380/3	Endometrioid carcinoma, NOS	NULL
8380/3	Endometrioid cystadenocarcinoma	NULL
8380/3	Mismatch repair-deficient (MMRd) endometrioid carcinoma	NULL
8380/3	Mismatch repair–deficient endometrioid carcinoma	NULL
8380/3	No specific molecular profile (NSMP) endometrioid carcinoma	NULL
8380/3	p53-mutant endometrioid carcinoma	NULL
8380/3	p53-mutant endometrioid carcinoma (p53abn)	NULL
8380/3	POLE-ultramutated endometrioid carcinoma	NULL
8380/3	POLE-ultramutated endometrioid carcinoma (POLEmut)	NULL
8380/3	TP53-mutant endometrioid carcinoma	NULL
8381/0	Endometrioid adenofibroma, NOS	1
8381/0	Endometrioid cystadenofibroma, NOS	NULL
8381/1	Endometrioid adenofibroma, borderline malignancy	1
8381/1	Endometrioid cystadenofibroma, borderline malignancy	NULL
8381/3	Endometrioid adenofibroma, malignant	1
8381/3	Endometrioid cystadenofibroma, malignant	NULL
8382/3	Endometrioid adenocarcinoma, secretory variant	1
8383/3	Endometrioid adenocarcinoma, ciliated cell variant	1
8384/3	Adenocarcinoma, endocervical type, NOS	1
8390/0	Adnexal tumor, benign	NULL
8390/0	Skin appendage adenoma	1
8390/0	Skin appendage tumor, benign	NULL
8390/3	Adnexal adenocarcinoma, NOS	1
8390/3	Adnexal carcinoma	NULL
8390/3	Eccrine carcinoma, NOS	NULL
8390/3	High-grade eccrine syringomatous carcinoma	NULL
8390/3	Skin appendage carcinoma	NULL
8390/3	Sweat duct carcinoma	NULL
8391/0	Fibrofolliculoma	NULL
8391/0	Follicular fibroma	1
8391/0	Perifollicular fibroma	NULL
8391/0	Spindle cell predominant trichodiscoma	NULL
8391/0	Trichoadenoma	NULL
8391/0	Trichodiscoma	NULL
8392/0	Eccrine syringofibroadenomatous hyperplasia	NULL
8392/0	Syringofibroadenoma	1
8400/0	Sweat gland adenoma	1
8400/0	Sweat gland tumor, benign	NULL
8400/0	Syringadenoma, NOS	NULL
8400/1	Sweat gland tumor, NOS	1
8400/3	Carcinoma of sweat gland origin	NULL
8400/3	Sweat gland adenocarcinoma	1
8400/3	Sweat gland carcinoma	NULL
8400/3	Sweat gland tumor, malignant	NULL
8401/0	Apocrine adenoma	1
8401/0	Apocrine cystadenoma	NULL
8401/3	Apocrine adenocarcinoma	1
8401/3	Apocrine carcinoma	NULL
8401/3	Apocrine gland carcinoma	NULL
8401/3	Carcinoma with apocrine differentiation	NULL
8402/0	Clear cell hidradenoma	NULL
8402/0	Eccrine acrospiroma	NULL
8402/0	Hidradenoma, NOS	1
8402/0	Nodular hidradenoma	NULL
8402/0	Solid cystic hidradenoma	NULL
8402/3	Hidradenocarcinoma	1
8402/3	Nodular hidradenoma, malignant	NULL
8403/0	Eccrine spiradenoma	NULL
8403/0	Spiradenoma, NOS	1
8403/3	Carcinoma ex cylindroma	NULL
8403/3	Carcinoma ex spiradenocylindroma	NULL
8403/3	Carcinoma ex spiradenoma	NULL
8403/3	Cylindrocarcinoma	NULL
8403/3	Malignant eccrine spiradenoma	1
8403/3	Malignant neoplasm arising from cylindroma	NULL
8403/3	Malignant neoplasm arising from pre-existing cylindroma	NULL
