Key,FullKey,C_Site,Hist,Behavior,CPC2024B,CPC2025B,CPC2026A
82503,C00082503,C000,8250,3,9,9,3
82513,C00082513,C000,8251,3,9,9,3
82523,C00082523,C000,8252,3,9,9,3
82532,C00082532,C000,8253,2,9,9,3
82533,C00082533,C000,8253,3,3,3,3
82543,C00082543,C000,8254,3,3,3,3
82553,C00082553,C000,8255,3,1,1,1
82563,C00082563,C000,8256,3,3,3,3
82573,C00082573,C000,8257,3,3,3,3
82603,C00082603,C000,8260,3,1,1,3
82612,C00082612,C000,8261,2,1,1,3
82613,C00082613,C000,8261,3,1,1,3
82623,C00082623,C000,8262,3,1,1,3
82632,C00082632,C000,8263,2,1,1,3
82633,C00082633,C000,8263,3,1,1,3
82653,C00082653,C000,8265,3,9,9,3
82703,C00082703,C000,8270,3,9,9,3
82713,C00082713,C000,8271,3,9,9,3
82723,C00082723,C000,8272,3,9,9,3
82733,C00082733,C000,8273,3,9,9,3
82803,C00082803,C000,8280,3,9,9,3
82813,C00082813,C000,8281,3,9,9,3
82903,C00082903,C000,8290,3,9,9,3
83003,C00083003,C000,8300,3,9,9,3
83103,C00083103,C000,8310,3,9,9,3
83113,C00083113,C000,8311,3,9,9,3
83123,C00083123,C000,8312,3,9,9,3
83133,C00083133,C000,8313,3,9,9,3
83143,C00083143,C000,8314,3,9,9,3
83153,C00083153,C000,8315,3,9,9,3
83163,C00083163,C000,8316,3,9,9,3
83173,C00083173,C000,8317,3,9,9,3
83183,C00083183,C000,8318,3,9,9,3
83193,C00083193,C000,8319,3,9,9,3
83203,C00083203,C000,8320,3,9,9,3
83223,C00083223,C000,8322,3,9,9,3
83233,C00083233,C000,8323,3,9,9,3
83303,C00083303,C000,8330,3,9,9,3
83313,C00083313,C000,8331,3,9,9,3
83323,C00083323,C000,8332,3,9,9,3
83333,C00083333,C000,8333,3,9,9,3
83353,C00083353,C000,8335,3,9,9,3
83373,C00083373,C000,8337,3,9,9,3
